acequia,cfs,start,end
ConsolNet,2.5,2026-05-21 12:30,2026-05-27 11:30
Nueva,2.5,2026-05-16 12:30,2026-05-21 11:30
Llano,1.5,2026-05-16 12:30,2026-05-21 11:30
Comunidad,3.25,2026-05-16 12:30,2026-05-21 11:30
Ortiz,2.75,2026-05-16 12:30,2026-05-20 11:30
Gardunos,2,2026-05-28 12:30,2026-05-30 11:30
Jose G. Ortiz,2,2026-05-28 12:30,2026-05-30 11:30
Cano,3,2026-05-20 12:30,2026-05-25 11:30
Rincon,3,2026-05-20 12:30,2026-05-24 11:30
Las Joyas,3.5,2026-05-21 12:30,2026-05-25 11:30
Trujillos,2,2026-05-27 12:30,2026-05-30 11:30
Barranco Alto,2,2026-05-27 12:30,2026-05-30 11:30
Larga,2.5,2026-05-23 12:30,2026-05-27 11:30
Ancon de Jacona,0.75,2026-05-27 12:30,2026-05-30 11:30
Barranco,2,2026-05-24 12:30,2026-05-28 11:30
Otra Vanda,3,2026-05-25 12:30,2026-05-30 11:30
Rancho,1.5,2026-05-24 12:30,2026-05-28 11:30
Indios,2,2026-05-25 12:30,2026-05-29 11:30
San Ildefonso,2,2026-05-16 12:30,2026-05-23 11:30
